x_min,y_min,x_max,y_max,class_id,average_distance,center_distance,weighted_average_distance
379.0289916992188,99.38593292236328,463.9642028808594,319.4478454589844,person,4.159,3.759000062942505,3.761
449.6320190429688,231.39048767089844,610.7212524414062,452.5227355957031,chair,3.529,2.4630000591278076,1.236
131.04660034179688,225.8707427978516,224.7527008056641,358.40362548828125,chair,3.601,3.739000082015991,1.246
0.0,221.7940216064453,119.69562530517578,471.2108154296875,chair,3.375,2.4700000286102295,0.619
