x_min,y_min,x_max,y_max,class_id,average_distance,center_distance,weighted_average_distance
378.93450927734375,98.97765350341795,465.19476318359375,319.9991760253906,person,4.118,3.759000062942505,3.758
450.5328979492188,230.74020385742188,611.8116455078125,451.661865234375,chair,3.533,2.5,1.251
130.62338256835938,225.66177368164062,225.3087310791016,358.3577880859375,chair,3.604,3.753999948501587,1.252
1.256191611289978,224.09735107421875,120.0025634765625,469.8978576660156,chair,3.378,2.484999895095825,0.621
