x_min,y_min,x_max,y_max,class_id,average_distance,center_distance,weighted_average_distance
379.4289855957031,98.57696533203124,469.1544799804688,321.3396911621094,person,4.121,3.7720000743865967,3.77
450.6990051269531,231.84942626953125,611.9146728515625,451.5118713378906,chair,3.537,2.5,1.253
131.53034973144528,224.99073791503903,225.6054229736328,358.612548828125,chair,3.615,3.757999897003174,1.254
1.624075174331665,224.45201110839844,119.55384063720705,469.239990234375,chair,3.399,2.506999969482422,0.628
